Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
GI,Fires,090,Solomon Islands,7246,Burned Area,6789,Woody savanna,2003,2003,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6789,Woody savanna,2004,2004,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6789,Woody savanna,2005,2005,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6789,Woody savanna,2006,2006,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6789,Woody savanna,2007,2007,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6789,Woody savanna,2008,2008,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6789,Woody savanna,2009,2009,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6789,Woody savanna,2010,2010,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6789,Woody savanna,2011,2011,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6789,Woody savanna,2012,2012,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6789,Woody savanna,2013,2013,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6789,Woody savanna,2014,2014,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6789,Woody savanna,2015,2015,3050,FAO TIER 1,ha,42.7552,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6789,Woody savanna,2016,2016,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6789,Woody savanna,2017,2017,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6789,Woody savanna,2018,2018,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6789,Woody savanna,2019,2019,3050,FAO TIER 1,ha,0,Fc,Calculated data,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
,,090,,,,,,,,,,,,,,
